period,site_no,site_name,wg,xig,stru_damping,gamma_t,miu,zeta,kappa,gamma,alpha,ok
5.2,2,Group3+I0,20.94,0.64,0.12000000000000001,0.8,0.09089009497646278,0.00021754950609131912,0.04981456771216643,0.8448972444681353,-2.48008881985937,True
5.2,2,Group3+I0,20.94,0.64,0.12000000000000001,0.9,0.5523179194044989,0.001747176077174784,0.10015811920401632,0.907537240005312,-5.055540803102119,True
5.2,2,Group3+I0,20.94,0.64,0.13999999999999999,0.6,0.49246099774711205,0.09051176295446996,0.4978490620531002,0.6968064010208723,8.721741558081336,False
5.2,2,Group3+I0,20.94,0.64,0.13999999999999999,0.7,0.4987768847449753,0.005958587020018504,0.46139934601484756,0.7499944868345992,-1.3453920206470071,True
5.2,2,Group3+I0,20.94,0.64,0.13999999999999999,0.8,0.0720653685631803,0.00442347682153399,0.04418674177209648,0.8406297319685165,-2.6882632550166417,True
5.2,2,Group3+I0,20.94,0.64,0.13999999999999999,0.9,0.5395635684563352,0.0004196018043101103,0.09819813964066118,0.9390086525037663,-6.150696830752747,True
5.2,2,Group3+I0,20.94,0.64,0.16,0.6,0.4786461237022509,0.11754959996863604,0.49928379802828726,0.7076704694115881,9.868702048305282,False
5.2,2,Group3+I0,20.94,0.64,0.16,0.7,0.5036916677046257,0.0157626944148942,0.4678553710558321,0.749996261321348,-1.286311829471563,True
5.2,2,Group3+I0,20.94,0.64,0.16,0.8,0.14309033804793037,0.01151823269603003,0.09375088801608814,0.8278909736974597,-2.0221008888664374,True
5.2,2,Group3+I0,20.94,0.64,0.16,0.9,0.4758771750177338,0.0034264624629387628,0.08361322557349839,0.8834689815913255,-4.122220930783945,True
5.2,2,Group3+I0,20.94,0.64,0.18,0.6,0.4622545259529893,0.12651784161504867,0.49977444111964764,0.7195377449765173,11.08143047037624,False
5.2,2,Group3+I0,20.94,0.64,0.18,0.7,0.5365696792921785,0.020470068163723768,0.49380125096144156,0.7499848680711039,-1.2160487722725377,True
5.2,2,Group3+I0,20.94,0.64,0.18,0.8,0.12339569674207157,0.004128500880725695,0.08646812418800777,0.7932226554572848,-3.0127072913974824,True
