id,周期,场地编号,场地名称,wg,xig,结构阻尼比,减震比,miu,zeta,kappa,gamma,alpha,ok
49,0.1,4,设计地震第2组+I1,20.94,0.64,0.05,0.9,0.7833994759872517,0.00024419278088355645,0.0111644939419962,0.9780947461307596,-7.132589955575668,False
50,0.1,5,设计地震第3组+I1,17.95,0.64,0.02,0.5,0.9692194012494341,0.9977327510545607,0.32571766768185545,0.8915401537912875,38.62583624660039,False
51,0.1,5,设计地震第3组+I1,17.95,0.64,0.02,0.6,0.981819845600574,0.9997806549055923,0.33233981082096553,0.8912943196683273,28.60629848095014,False
52,0.1,5,设计地震第3组+I1,17.95,0.64,0.02,0.7,0.9415519382175203,0.9998721629371655,0.3242962310038226,0.8913900093880669,18.609816347475736,False
53,0.1,5,设计地震第3组+I1,17.95,0.64,0.02,0.8,0.9928498193088905,0.9988183081062012,0.32481903824820396,0.8914169346254344,8.61201790099999,False
54,0.1,5,设计地震第3组+I1,17.95,0.64,0.02,0.9,0.8032318786027423,0.00011789798824413111,0.022435717451838533,0.9800987069546035,-1.2264671293215468,False
55,0.1,5,设计地震第3组+I1,17.95,0.64,0.05,0.5,0.4604213719101352,0.00028455257627779673,0.020119689554867815,1.1866547955372209,38.044646495773236,False
56,0.1,5,设计地震第3组+I1,17.95,0.64,0.05,0.6,0.9153792330278399,0.9985249787459148,0.31508469816360396,0.8909591244200474,28.560069096545472,False
57,0.1,5,设计地震第3组+I1,17.95,0.64,0.05,0.7,0.46390860873392675,0.00010735541662093562,0.0065784305824222455,0.9823083625512138,12.85531547813518,False
58,0.1,5,设计地震第3组+I1,17.95,0.64,0.05,0.8,0.7229398840884855,0.00017882138623909194,0.020418778213998512,1.0013261268311335,0.72011902442474,False
59,0.1,5,设计地震第3组+I1,17.95,0.64,0.05,0.9,0.8433391440163489,0.00022184848950690395,0.01748456818971461,1.0037041572883159,-12.460629366586504,False
60,0.1,6,设计地震第1组+II,17.95,0.72,0.02,0.5,0.8519036535315487,0.0001480355869832306,0.012295559140261703,1.2631789295150182,15.641931014186248,False
61,0.1,6,设计地震第1组+II,17.95,0.72,0.02,0.6,0.9037931256278837,0.9998949170104781,0.31165869021161413,0.8934394114808459,28.808556755770667,False
62,0.1,6,设计地震第1组+II,17.95,0.72,0.02,0.7,0.9248100066543371,0.9991902634441127,0.322315382378663,0.8933454428928426,18.80827943813388,False
63,0.1,6,设计地震第1组+II,17.95,0.72,0.02,0.8,0.936662896995715,0.9989403784196107,0.31098404013353614,0.8934916621879258,8.812629243343927,False
64,0.1,6,设计地震第1组+II,17.95,0.72,0.02,0.9,0.394606406946528,0.00020179152639054898,0.018328778582280714,1.0039751330571725,-4.123330282255576,False
65,0.1,6,设计地震第1组+II,17.95,0.72,0.05,0.5,0.6174280391441884,0.00010117888526006702,0.014391630995211235,1.193072036601548,34.169664914873934,False
66,0.1,6,设计地震第1组+II,17.95,0.72,0.05,0.6,0.9766655041028969,0.9982844814530348,0.3095765136895814,0.8928319858318472,28.745261121461922,False
67,0.1,6,设计地震第1组+II,17.95,0.72,0.05,0.7,0.9648453218105831,0.9998298063861564,0.32007353991324855,0.892552328397265,18.726662603131658,False
68,0.1,6,设计地震第1组+II,17.95,0.72,0.05,0.8,0.9144827419108357,0.9988667666827646,0.32601598893117895,0.892643091854098,8.742186620712285,False
69,0.1,6,设计地震第1组+II,17.95,0.72,0.05,0.9,0.8272886710411956,1.2964010335236864e-05,0.013645440441708567,1.3270974548916303,-9.159673966280678,False
70,0.1,7,设计地震第2组+II,15.71,0.72,0.02,0.5,0.9135540791865742,0.9987511485722002,0.3251835802583663,0.8933512911349278,38.81152047361965,False
71,0.1,7,设计地震第2组+II,15.71,0.72,0.02,0.6,0.9932733103131749,0.9994445145088771,0.32722257321493753,0.89318956954434,28.795268058673578,False
72,0.1,7,设计地震第2组+II,15.71,0.72,0.02,0.7,0.929766237212466,0.9994647651870904,0.32433491441857004,0.8932722669710679,18.802400501226433,False
73,0.1,7,设计地震第2组+II,15.71,0.72,0.02,0.8,0.9605233666339767,0.9987427815701274,0.33521183084854356,0.8932835643351781,8.81233811090238,False
74,0.1,7,设计地震第2组+II,15.71,0.72,0.02,0.9,0.39128520631257596,0.0004970580376465472,0.014555595923629372,1.032321874118058,-0.8193210150782768,False
75,0.1,7,设计地震第2组+II,15.71,0.72,0.05,0.5,0.9799721314010927,0.9986195266143942,0.33316489557299683,0.8925377829486351,38.736281532911924,False
76,0.1,7,设计地震第2组+II,15.71,0.72,0.05,0.6,0.9386626104910866,0.9992442876044235,0.3230290585981984,0.8925769232890421,28.732214977057705,False
77,0.1,7,设计地震第2组+II,15.71,0.72,0.05,0.7,0.9950901120535293,0.9993450045536831,0.3381098981060825,0.8924530291332599,18.731532827768014,False
78,0.1,7,设计地震第2组+II,15.71,0.72,0.05,0.8,0.6668219168992483,6.53043394185926e-05,0.024565696899337297,0.998973110651454,6.787580266912364,False
79,0.1,7,设计地震第2组+II,15.71,0.72,0.05,0.9,0.9259693840590818,0.9929704889131373,0.12492505554053973,0.9197053480034404,-0.7601036976109984,True
80,0.1,8,设计地震第3组+II,13.96,0.72,0.02,0.5,0.2309067937054246,0.00023550540384281726,0.012401960882559127,1.0255100171894809,34.6537970064431,False
81,0.1,8,设计地震第3组+II,13.96,0.72,0.02,0.6,0.9117156931140697,0.9998000338658692,0.3363117377185206,0.8940761393534704,28.895138244102938,False
82,0.1,8,设计地震第3组+II,13.96,0.72,0.02,0.7,0.9494741257240931,0.0002346187847451775,0.013417653839421673,0.976192877384796,18.631146603108704,False
83,0.1,8,设计地震第3组+II,13.96,0.72,0.02,0.8,0.7944810002631023,0.0001325681815487756,0.027079813384114304,1.037090640999495,5.272503907995411,False
84,0.1,8,设计地震第3组+II,13.96,0.72,0.02,0.9,0.9739784223882736,0.9980475082848035,0.12617141847440166,0.9194291079530366,-0.7594021251681674,True
85,0.1,8,设计地震第3组+II,13.96,0.72,0.05,0.5,0.8849948412552091,0.00029454380493271204,0.011087767862437425,1.0263486848673307,23.172092687016388,False
86,0.1,8,设计地震第3组+II,13.96,0.72,0.05,0.6,0.9915628283587309,0.9983391538138624,0.3151510753866365,0.8934773191605252,28.81600279670097,False
87,0.1,8,设计地震第3组+II,13.96,0.72,0.05,0.7,0.9819967670887467,0.9990603998233407,0.33605933439775804,0.8933447390675322,18.821079778858824,False
88,0.1,8,设计地震第3组+II,13.96,0.72,0.05,0.8,0.9928145929635658,0.9989169314422974,0.30759567996558307,0.8935230317285819,8.813569245933229,False
89,0.1,8,设计地震第3组+II,13.96,0.72,0.05,0.9,0.7269415909569084,0.00014994293563025396,0.009141705998344019,1.0816358699817994,-16.251047345299675,False
90,0.1,9,设计地震第1组+III,13.96,0.8,0.02,0.5,0.9922304748909956,0.9976765736764414,0.3213600018721819,0.8959298460671308,39.07027739655583,False
91,0.1,9,设计地震第1组+III,13.96,0.8,0.02,0.6,0.8293228136697621,0.9998981207601586,0.30655465503450224,0.896030027194941,29.070024033479594,False
92,0.1,9,设计地震第1组+III,13.96,0.8,0.02,0.7,0.3633447465549763,4.3205917203470445e-05,0.011329226280221538,1.1343204862736362,10.217006428487252,False
93,0.1,9,设计地震第1组+III,13.96,0.8,0.02,0.8,0.9806794299235897,0.000765904789909011,0.013981208309391202,0.9811586255134477,7.758535329739285,False
94,0.1,9,设计地震第1组+III,13.96,0.8,0.02,0.9,0.4415680649993424,0.0005942657634188664,0.016306154551402885,1.0127608914264237,-1.7624613022701165,False
95,0.1,9,设计地震第1组+III,13.96,0.8,0.05,0.5,0.43846413074779605,0.0004119575054344349,0.005487456958647496,0.998839114393559,38.621964389252156,False
96,0.1,9,设计地震第1组+III,13.96,0.8,0.05,0.6,0.9603352096701802,0.9985632151258231,0.32210178913251897,0.8951813017653389,28.99721825179575,False
97,0.1,9,设计地震第1组+III,13.96,0.8,0.05,0.7,0.8889145991870359,0.9998671412458058,0.30888719341819876,0.8952649224756634,18.995007590841404,False
98,0.1,9,设计地震第1组+III,13.96,0.8,0.05,0.8,0.9927308633381937,0.00045388937334633894,0.016400434198978797,1.0894649803210705,4.441359974475276,False
99,0.1,9,设计地震第1组+III,13.96,0.8,0.05,0.9,0.9923267959976703,0.00012830644941558278,0.02057727441621776,0.9926897764538873,-9.317231576680294,False
100,0.1,10,设计地震第2组+III,11.42,0.8,0.02,0.5,0.7897636129689486,0.9998136833296245,0.3022168822751707,0.8991091235391462,39.381679989540835,False
101,0.1,10,设计地震第2组+III,11.42,0.8,0.02,0.6,0.5288392195764126,0.00010798126539574016,0.02132041023165293,1.2661685627757424,24.564293243416913,False
102,0.1,10,设计地震第2组+III,11.42,0.8,0.02,0.7,0.8438869181564965,0.9990538954664312,0.3227416449989501,0.8990501841744246,19.393412463812904,False
